iter	Passed	Remaining
0	0	720
1	1	568
2	1	515
3	2	533
4	2	503
5	2	490
6	3	462
7	4	509
8	4	503
9	4	491
10	5	474
11	5	484
12	6	488
13	6	488
14	7	487
15	7	489
16	8	488
17	8	485
18	9	478
19	9	468
20	9	462
21	10	461
22	10	459
23	11	452
24	11	448
25	11	446
26	12	453
27	12	449
28	13	450
29	13	449
30	14	455
31	14	450
32	15	450
33	15	449
34	16	455
35	17	456
36	17	456
37	17	454
38	18	449
39	18	444
40	18	440
41	19	436
42	19	438
43	19	434
44	20	432
45	20	429
46	21	426
47	21	423
48	21	425
49	22	423
50	22	424
51	23	422
52	23	420
53	23	417
54	24	414
55	24	412
56	24	410
57	25	408
58	25	405
59	25	403
60	26	400
61	26	397
62	26	397
63	27	395
64	27	393
65	27	393
66	28	391
67	28	390
68	28	388
69	29	387
70	29	387
71	30	386
72	30	386
73	30	384
74	31	385
75	31	384
76	32	383
77	32	381
78	32	380
79	33	379
80	33	380
81	33	379
82	34	377
83	34	377
84	35	377
85	35	376
86	35	377
87	36	379
88	37	378
89	37	377
90	37	376
91	38	375
92	38	378
93	39	378
94	39	377
95	40	377
96	40	375
97	40	374
98	41	374
99	41	373
100	41	372
101	42	371
102	42	369
103	42	368
104	43	371
105	43	370
106	44	370
107	44	368
108	44	367
109	45	366
110	45	366
111	46	365
112	46	365
113	47	367
114	47	368
115	48	369
116	48	367
117	48	365
118	49	366
119	49	366
120	50	365
121	50	363
122	51	363
123	51	363
124	51	362
125	52	362
126	52	362
127	53	362
128	53	361
129	53	360
130	54	359
131	54	358
132	54	357
133	55	356
134	55	356
135	55	355
136	56	354
137	56	353
138	56	352
139	57	352
140	57	350
141	57	348
142	58	347
143	58	347
144	58	346
145	59	345
146	59	344
147	59	343
148	60	343
149	60	342
150	60	342
151	61	342
152	61	341
153	62	340
154	62	341
155	63	342
156	63	341
157	64	341
158	64	340
159	64	339
160	65	338
161	65	338
162	65	337
163	66	337
164	66	336
165	67	336
166	67	337
167	68	337
168	68	337
169	69	337
170	69	337
171	69	336
172	70	335
173	70	336
174	71	336
175	71	335
176	71	334
177	72	333
178	72	332
179	72	331
180	73	331
181	73	330
182	73	329
183	74	329
184	74	328
185	74	327
186	75	326
187	75	325
188	75	325
189	76	324
190	76	323
191	76	323
192	77	322
193	77	322
194	78	322
195	78	321
196	79	322
197	79	321
198	79	321
199	80	320
200	80	319
201	80	318
202	80	317
203	81	316
204	81	316
205	81	315
206	82	314
207	82	315
208	83	315
209	83	314
210	83	313
211	84	313
212	84	312
213	85	312
214	85	312
215	85	311
216	86	311
217	86	310
218	86	310
219	87	309
220	87	308
221	87	307
222	89	311
223	89	310
224	89	309
225	90	309
226	90	308
227	90	307
228	91	307
229	91	306
230	91	305
231	92	305
232	92	304
233	92	304
234	93	303
235	93	303
236	94	302
237	94	303
238	95	304
239	96	304
240	96	304
241	96	303
242	97	303
243	97	302
244	98	302
245	98	301
246	98	301
247	99	300
248	99	299
249	99	299
250	100	298
251	100	297
252	101	298
253	101	297
254	101	297
255	102	297
256	102	296
257	103	296
258	103	296
259	104	296
260	104	295
261	104	295
262	105	294
263	105	294
264	105	293
265	106	293
266	106	292
267	107	292
268	107	291
269	107	291
270	108	291
271	108	290
272	109	290
273	109	291
274	110	291
275	111	291
276	111	290
277	111	290
278	112	289
279	112	289
280	113	289
281	113	288
282	113	288
283	114	288
284	114	287
285	115	287
286	115	286
287	115	285
288	116	285
289	116	285
290	117	285
291	117	284
292	117	284
293	118	284
294	118	283
295	118	282
296	119	282
297	119	281
298	119	281
299	120	280
300	120	280
301	121	280
302	122	281
303	122	281
304	123	280
305	123	280
306	123	279
307	124	278
308	124	278
309	124	277
310	125	277
311	125	276
312	125	276
313	126	275
314	126	274
315	127	275
316	127	274
317	127	274
318	128	273
319	128	273
320	129	273
321	129	273
322	131	275
323	131	274
324	132	274
325	132	273
326	132	273
327	133	273
328	133	272
329	134	272
330	134	271
331	134	271
332	135	270
333	135	269
334	135	269
335	136	269
336	136	268
337	137	268
338	137	268
339	137	267
340	138	267
341	138	266
342	139	266
343	139	265
344	139	265
345	140	265
346	140	264
347	141	264
348	141	264
349	141	263
350	142	263
351	143	263
352	143	262
353	143	262
354	143	261
355	144	261
356	145	261
357	145	260
358	145	260
359	146	259
360	146	260
361	147	259
362	147	259
363	147	258
364	148	258
365	148	257
366	149	257
367	149	257
368	150	257
369	150	256
370	151	256
371	151	256
372	152	255
373	152	255
374	153	255
375	153	255
376	154	254
377	154	254
378	155	254
379	155	253
380	155	252
381	156	252
382	156	252
383	157	252
384	157	252
385	158	251
386	158	251
387	159	251
388	159	251
389	160	250
390	160	250
391	161	250
392	162	250
393	162	250
394	163	249
395	163	249
396	163	248
397	164	248
398	164	248
399	165	248
400	165	247
401	166	247
402	166	246
403	166	246
404	167	245
405	167	244
406	167	244
407	168	244
408	168	243
409	168	243
410	169	242
411	170	242
412	170	242
413	171	242
414	171	242
415	172	241
416	172	241
417	173	241
418	173	241
419	174	240
420	174	240
421	174	239
422	175	239
423	175	239
424	176	238
425	176	237
426	176	237
427	177	237
428	177	236
429	178	236
430	178	235
431	179	235
432	179	234
433	179	234
434	180	233
435	180	233
436	180	232
437	181	232
438	181	232
439	181	231
440	182	230
441	182	230
442	182	230
443	183	229
444	183	229
445	184	228
446	184	228
447	184	227
448	185	227
449	185	226
450	185	226
451	186	225
452	186	225
453	186	224
454	187	224
455	187	223
456	187	223
457	188	222
458	188	222
459	189	222
460	189	221
461	190	221
462	190	220
463	190	220
464	191	219
465	191	219
466	191	218
467	192	218
468	192	217
469	192	217
470	193	217
471	193	216
472	194	216
473	194	215
474	194	215
475	195	214
476	195	214
477	196	214
478	196	213
479	197	213
480	197	213
481	197	212
482	198	212
483	198	211
484	198	211
485	199	210
486	199	210
487	200	209
488	200	209
489	200	209
490	201	208
491	201	208
492	202	207
493	202	207
494	202	206
495	203	206
496	203	205
497	203	205
498	204	205
499	204	204
500	205	204
501	205	203
502	205	203
503	206	202
504	206	202
505	206	201
506	207	201
507	207	200
508	207	200
509	208	199
510	208	199
511	208	198
